element,gameweek,season,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,explain,modified
117,1,2025-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0, 'points_modification': 0}]}]",False
118,1,2025-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0, 'points_modification': 0}]}]",False
119,1,2025-26,90,0,0,0,1,0,0,0,0,0,0,0,17,10.6,21.4,49.0,8.1,1,5,0,6,1,0.42,0.05,0.47,1.31,2,False,"[{'fixture': 9, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90, 'points_modification': 0}]}]",False
120,1,2025-26,45,0,0,0,0,0,0,0,0,0,0,0,1,4.6,0.9,6.0,1.2,2,3,2,7,0,0.00,0.04,0.04,0.37,1,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 1, 'value': 45, 'points_modification': 0}]}]",False
121,1,2025-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0, 'points_modification': 0}]}]",False
122,1,2025-26,45,0,0,0,3,0,0,0,0,0,0,0,5,4.0,1.8,0.0,0.6,0,2,2,4,1,0.00,0.01,0.01,1.49,1,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 1, 'value': 45, 'points_modification': 0}]}]",False
123,1,2025-26,90,0,0,0,3,0,0,0,0,0,0,0,7,5.4,5.0,3.0,1.3,0,4,3,7,1,0.03,0.03,0.06,1.86,2,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90, 'points_modification': 0}]}]",False
124,1,2025-26,21,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.1,0.0,0.1,0,3,0,3,0,0.00,0.00,0.00,0.00,1,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 1, 'value': 21, 'points_modification': 0}]}]",False
125,1,2025-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0, 'points_modification': 0}]}]",False
126,1,2025-26,68,0,0,0,3,0,0,0,0,0,0,0,10,9.0,25.4,8.0,4.2,2,1,2,5,1,0.13,0.03,0.16,1.86,2,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 68, 'points_modification': 0}]}]",False
127,1,2025-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0, 'points_modification': 0}]}]",False
128,1,2025-26,21,0,1,0,0,0,0,0,0,0,0,0,9,0.0,0.1,2.0,0.1,0,1,0,1,0,0.00,0.00,0.00,0.00,4,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 1, 'value': 21, 'points_modification': 0}, {'identifier': 'assists', 'points': 3, 'value': 1, 'points_modification': 0}]}]",False
129,1,2025-26,90,0,0,0,3,0,0,0,0,0,0,0,10,3.6,10.8,7.0,2.1,0,9,0,9,1,0.08,0.01,0.09,1.86,2,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90, 'points_modification': 0}]}]",False
130,1,2025-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0, 'points_modification': 0}]}]",False
131,1,2025-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0, 'points_modification': 0}]}]",False
132,1,2025-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0, 'points_modification': 0}]}]",False
133,1,2025-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0, 'points_modification': 0}]}]",False
134,1,2025-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0, 'points_modification': 0}]}]",False
135,1,2025-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0, 'points_modification': 0}]}]",False
136,1,2025-26,90,1,0,0,3,0,0,0,0,0,0,0,17,36.4,10.7,22.0,6.9,1,0,1,2,1,0.91,0.01,0.92,1.86,6,False,"[{'fixture': 4, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90, 'points_modification': 0}, {'identifier': 'goals_scored', 'points': 4, 'value': 1, 'points_modification': 0}]}]",False
